name,nonempty,empty 
Abel_Herrero, 33 , 2
Al_Green, 35 , 140
Allen_Fletcher, 3 , 0
Alma_Allen, 10 , 4
Ana_Hernandez, 15 , 7
Angie_Chen_Button, 26 , 1
Armando_Martinez, 12 , 0
Armando_Walle, 19 , 4
Barbara_Hervey, 15 , 0
Bert_Richardson, 111 , 25
Beto_O'Rourke, 0
Beto_O’Rourke, 7 , 1
Bill_Flores, 131 , 65
Bill_Zedler, 27 , 1
Blake_Farenthold, 41 , 30
Bob_Hall, 20 , 3
Bob_Libal, 9 , 0
Bobby_Guerra, 4 , 0
Borris_Miles, 11 , 2
Brandon_Creighton, 43 , 8
Brian_Babin, 5 , 0
Brian_Birdwell, 97 , 14
Brooks_Landgraf, 2 , 0
Bryan_Hughes, 50 , 7
Byron_Cook, 57 , 4
Carlos_Uresti, 62 , 5
Carol_Alvarado, 46 , 8
Cecil_Bell, 29 , 10
Cecil_Bell_Jr., 1 , 2
Celia_Israel, 61 , 26
Cesar_Blanco, 4 , 2
Charles_Anderson, 2 , 2
Charles_Perry, 66 , 12
Charles_Schwertner, 144 , 22
Charlie_Geren, 66 , 6
Cheryl_Johnson, 40 , 0
Chris_Paddie, 10 , 1
Chris_Turner, 40 , 2
Christi_Craddick, 16 , 3
Cindy_Burkett, 7 , 1
Craig_Estes, 77 , 11
Craig_Goldman, 4 , 0
Dade_Phelan, 1 , 0
Dan_Flynn, 80 , 49
Dan_Huberty, 48 , 9
Dan_Patrick, 988 , 614
David_Newell, 8 , 0
David_Porter, 59 , 82
David_Simpson, 89 , 28
Dawnna_Dukes, 135 , 47
Debbie_Riddle, 45 , 6
Debra_Lehrmann, 55 , 4
Dennis_Bonnen, 97 , 35
Dennis_Paul, 2 , 2
Diego_Bernal, 7 , 1
Don_Huffines, 23 , 2
Don_Willett, 27 , 0
Donna_Campbell, 179 , 59
Donna_Howard, 248 , 56
Doug_Miller, 15 , 6
Drew_Darby, 55 , 6
Drew_Springer, 36 , 3
Dwayne_Bohac, 26 , 8
Ed_Thompson, 1 , 0
Eddie_Lucio_III, 30 , 2
Eddie_Lucio_Jr., 73 , 18
Eddie_Rodriguez, 182 , 41
Elliott_Naishtat, 111 , 28
Elsa_Alcala, 16 , 1
Eric_Johnson, 95 , 307
Eva_Guzman, 48 , 3
Filemon_Vela, 6 , 22
Four_Price, 14 , 0
Garnet_Coleman, 98 , 11
Gary_Elkins, 22 , 9
Gary_VanDeaver, 5 , 0
Geanie_Morrison, 20 , 3
Gene_Green, 19 , 8
Gene_Wu, 7 , 1
George_P._Bush, 84 , 144
Gilbert_Pena, 3 , 2
Giovanni_Capriglione, 17 , 4
Glenn_Hegar, 209 , 42
Greg_Abbott, 0 , 0
Greg_Bonnen, 4 , 2
Harold_Dutton, 52 , 12
Helen_Giddings, 16 , 3
Henry_Cuellar, 53 , 65
Hubert_Vo, 15 , 0
Ina_Minjarez, 4 , 0
J._M._Lozano, 20 , 1
J.D._Sheffield, 10 , 2
J.M._Lozano, 20 , 1
James_Frank, 5 , 5
James_White, 71 , 95
Jane_Nelson, 285 , 73
Jason_Isaac, 115 , 63
Jason_Villalba, 45 , 13
Jeb_Hensarling, 29 , 120
Jeff_Brown, 40 , 27
Jeff_Leach, 23 , 0
Jeffrey_Boyd, 11 , 1
Jessica_Farrar, 50 , 5
Jim_Keffer, 69 , 0
Jim_Murphy, 28 , 153
Jimmie_Don_Aycock, 105 , 23
Joan_Huffman, 130 , 24
Joaquin_Castro, 95 , 63
Jodie_Laubenberg, 43 , 17
Joe_Barton, 60 , 52
Joe_Deshotel, 25 , 7
Joe_Farias, 11 , 0
Joe_Pickett, 101 , 24
Joe_Straus, 835 , 217
John_Carter, 365 , 122
John_Cornyn, 653 , 701
John_Culberson, 13 , 17
John_Cyrier, 29 , 15
John_Devine, 16 , 3
John_Frullo, 5 , 2
John_Kuempel, 23 , 10
John_Otto, 121 , 29
John_Raney, 3 , 0
John_Ratcliffe, 7 , 4
John_Smithee, 48 , 3
John_Whitmire, 434 , 67
John_Zerwas, 69 , 6
Jonathan_Stickland, 58 , 35
Jose_Menendez, 16 , 6
Jose_Rodriguez, 63 , 24
Joseph_Moody, 4 , 0
Juan_Hinojosa, 47 , 12
Judith_Zaffirini, 204 , 31
Justin_Rodriguez, 10 , 2
Kay_Granger, 13 , 16
Kel_Seliger, 172 , 28
Kelly_Hancock, 38 , 7
Ken_King, 3 , 2
Ken_Paxton, 206 , 102
Kenneth_Sheets, 13 , 4
Kenny_Marchant, 9 , 20
Kevin_Brady, 22 , 50
Kevin_Eltife, 115 , 13
Kevin_Yeary, 1 , 0
Kirk_Watson, 957 , 171
Konni_Burton, 23 , 9
Kyle_Janek, 126 , 35
Kyle_Kacal, 13 , 1
Lamar_Smith, 288 , 58
Larry_Gonzales, 109 , 22
Larry_Phillips, 41 , 21
Larry_Taylor, 91 , 28
Lawrence_Meyers, 38 , 4
Leighton_Schubert, 1 , 0
Linda_Koop, 3 , 0
Lloyd_Doggett, 518 , 143
Lois_Kolkhorst, 81 , 6
Louie_Gohmert, 48 , 84
Lyle_Larson, 44 , 12
Mac_Thornberry, 18 , 35
Marc_Veasey, 29 , 5
Marisa_Marquez, 12 , 9
Marsha_Farney, 77 , 8
Mary_Gonzalez, 14 , 4
Matt_Krause, 33 , 4
Matt_Rinaldi, 17 , 0
Matt_Schaefer, 19 , 2
Matt_Shaheen, 3 , 0
Michael_Burgess, 22 , 33
Michael_Keasler, 18 , 1
Michael_McCaul, 378 , 355
Mike_Conaway, 12 , 4
Mike_Schofield, 4 , 1
Molly_White, 32 , 21
Myra_Crownover, 46 , 9
Nathan_Hecht, 86 , 42
Nathan_L._Hecht, 5 , 11
Nicole_Collier, 3 , 2
Oscar_Longoria, 4 , 3
Pat_Fallon, 11 , 0
Patricia_Harless, 31 , 3
Paul_Bettencourt, 42 , 14
Paul_Green, 23 , 5
