name,nonempty,empty
Abel_Herrero, 19 , 0
Abel_Herrero-bak, 19 , 0
Al_Green, 36 , 0
Allen_Fletcher, 1 , 0
Alma_Allen, 20 , 0
Ana_Hernandez, 15 , 0
Andrew_Murr, 2 , 0
Angie_Chen_Button, 43 , 0
Armando_Martinez, 19 , 0
Armando_Walle, 27 , 0
Barbara_Hervey, 2 , 0
Barbara_Parker_Hervey, 1 , 0
Bert_Richardson, 35 , 0
Beto_O'Rourke, 0
Beto_O’Rourke, 27 , 0
Bill_Flores, 70 , 0
Bill_Zedler, 23 , 0
Blake_Farenthold, 44 , 0
Bob_Hall, 71 , 0
Bob_Libal, 7 , 0
Bobby_Guerra, 3 , 0
Borris_L._Miles, 1 , 0
Borris_Miles, 21 , 0
Brandon_Creighton, 41 , 0
Brian_Babin, 16 , 0
Brian_Birdwell, 52 , 0
Brooks_Landgraf, 3 , 0
Bryan_Hughes, 5 , 0
Byron_Cook, 42 , 0
Carlos_Uresti, 15 , 0
Carol_Alvarado, 18 , 0
Cecil_Bell, 98 , 0
Celia_Israel, 7 , 0
Cesar_Blanco, 3 , 0
Charles_Anderson, 36 , 0
Charles_Perry, 41 , 0
Charles_Schwertner, 45 , 0
Charlie_Geren, 42 , 0
Cheryl_Johnson, 13 , 0
Chris_Paddie, 11 , 0
Chris_Turner, 54 , 0
Christi_Craddick, 38 , 0
Cindy_Burkett, 69 , 0
Craig_Estes, 57 , 0
Craig_Goldman, 16 , 0
Dade_Phelan, 1 , 0
Dan_Flynn, 69 , 0
Dan_Huberty, 26 , 0
Dan_Patrick, 101 , 0
David_Newell, 7 , 0
David_Newll, 7 , 0
David_Porter, 95 , 0
David_Simpson, 67 , 0
Dawnna_Dukes, 13 , 0
Debbie_Riddle, 18 , 0
Debra_Lehrmann, 40 , 0
Dennis_Bonnen, 60 , 0
Dennis_Paul, 2 , 0
DeWayne_Burns, 3 , 0
Diego_Bernal, 2 , 0
Don_Huffines, 100 , 0
Don_R._Willett, 6 , 0
Don_Willett, 12 , 0
Donna_Campbell, 56 , 0
Donna_Howard, 18 , 0
Doug_Miller, 43 , 0
Drew_Darby, 36 , 0
Drew_Springer, 17 , 0
Dustin_Burrows, 1 , 0
Dwayne_Bohac, 14 , 0
Ed_Thompson, 8 , 0
Eddie_Johnson, 22 , 0
Eddie_Lucio_III, 16 , 0
Eddie_Lucio_Jr., 12 , 0
Eddie_Rodriguez, 23 , 0
Elliott_Naishtat, 14 , 0
Elsa_Alcala, 9 , 0
Eric_Johnson, 97 , 0
Eva_Guzman, 17 , 0
Filemon_Vela, 13 , 0
Four_Price, 14 , 0
Garnet_Coleman, 53 , 0
Gary_Elkins, 20 , 0
Gary_VanDeaver, 1 , 0
Geanie_Morrison, 11 , 0
Gene_Green, 23 , 0
Gene_Wu, 12 , 0
George_P._Bush, 97 , 0
Gilbert_Pena, 6 , 0
Giovanni_Capriglione, 23 , 0
Glenn_Hegar, 99 , 0
Greg_Abbott, 99 , 0
Greg_Bonnen, 11 , 0
Harold_Dutton, 38 , 0
Helen_Giddings, 78 , 0
Henry_Cuellar, 74 , 0
Hubert_Vo, 28 , 0
Ina_Minjarez, 2 , 0
J._M._Lozano, 14 , 0
J.D._Sheffield, 11 , 0
J.M._Lozano, 14 , 0
James_Frank, 11 , 0
James_White, 67 , 0
Jane_Nelson, 98 , 0
Jason_Isaac, 12 , 0
Jason_Villalba, 101 , 0
Jeb_Hensarling, 101 , 0
Jeff_Brown, 16 , 0
Jeff_Leach, 88 , 0
Jeffrey_Boyd, 7 , 0
Jeffrey_S._Boyd, 2 , 0
Jessica_Farrar, 22 , 0
Jim_Keffer, 32 , 0
Jim_Murphy, 24 , 0
Jimmie_Don_Aycock, 101 , 0
Joan_Huffman, 56 , 0
Joaquin_Castro, 70 , 0
Jodie_Laubenberg, 74 , 0
Joe_Barton, 100 , 0
Joe_Deshotel, 24 , 0
Joe_Farias, 9 , 0
Joe_Pickett, 71 , 0
Joe_Straus, 101 , 0
John_Carter, 87 , 0
John_Cornyn, 100 , 0
John_Culberson, 21 , 0
John_Cyrier, 1 , 0
John_Devine, 17 , 0
John_Frullo, 12 , 0
John_Kuempel, 14 , 0
John_Otto, 43 , 0
