name,nonempty,empty
Abel_Herrero, 283 , 0
Al_Green, 848 , 0
Allen_Fletcher, 340 , 0
Alma_Allen, 1000 , 0
Ana_Hernandez, 914 , 0
Andrew_Murr, 5 , 0
Angie_Chen_Button, 14 , 0
Armando_Martinez, 89 , 0
Armando_Walle, 352 , 0
Barbara_Hervey, 217 , 0
Barbara_Parker_Hervey, 19 , 0
Bert_Richardson, 863 , 0
Beto_O'Rourke, 0
Beto_O’Rourke, 282 , 0
Bill_Flores, 699 , 0
Bill_Zedler, 810 , 0
Blake_Farenthold, 22 , 0
Bob_Hall, 257 , 0
Bob_Libal, 4 , 0
Bobby_Guerra, 15 , 0
Borris_L._Miles, 27 , 0
Borris_Miles, 381 , 0
Brandon_Creighton, 424 , 0
Brian_Babin, 245 , 0
Brian_Birdwell, 820 , 0
Brooks_Landgraf, 6 , 0
Bryan_Hughes, 249 , 0
Byron_Cook, 672 , 0
Carlos_Uresti, 863 , 0
Carol_Alvarado, 963 , 0
Cecil_Bell, 715 , 0
Celia_Israel, 121 , 0
Cesar_Blanco, 8 , 0
Charles_Anderson, 887 , 0
Charles_Perry, 362 , 0
Charles_Schwertner, 532 , 0
Charlie_Geren, 868 , 0
Cheryl_Johnson, 27 , 0
Chris_Paddie, 19 , 0
Chris_Turner, 393 , 0
Christi_Craddick, 705 , 0
Cindy_Burkett, 463 , 0
Craig_Estes, 731 , 0
Craig_Goldman, 365 , 0
Dade_Phelan, 412 , 0
Dan_Flynn, 824 , 0
Dan_Huberty, 181 , 0
Dan_Patrick, 867 , 0
David_Newell, 339 , 0
David_Porter, 668 , 0
David_Simpson, 876 , 0
Dawnna_Dukes, 762 , 0
Debbie_Riddle, 721 , 0
Debra_Lehrmann, 21 , 0
Dennis_Bonnen, 628 , 0
Dennis_Paul, 262 , 0
DeWayne_Burns, 2 , 0
Diego_Bernal, 669 , 0
Don_Huffines, 122 , 0
Don_R._Willett, 11 , 0
Don_Willett, 440 , 0
Donna_Campbell, 504 , 0
Donna_Howard, 326 , 0
Doug_Miller, 258 , 0
Drew_Darby, 1003 , 0
Drew_Springer, 268 , 0
Dustin_Burrows, 3 , 0
Dwayne_Bohac, 841 , 0
Ed_Thompson, 667 , 0
Eddie_Johnson, 930 , 0
Eddie_Lucio_III, 236 , 0
Eddie_Lucio_Jr., 774 , 0
