name,nonempty,empty
Abel_Herrero, 21 , 0
Al_Green, 78 , 0
Allen_Fletcher, 1 , 0
Alma_Allen, 15 , 0
Ana_Hernandez, 12 , 0
Andrew_Murr, 1 , 0
Angie_Chen_Button, 4 , 0
Armando_Martinez, 6 , 0
Armando_Walle, 10 , 0 
Barbara_Hervey, 1 , 0
Barbara_Parker_Hervey, 1 , 0
Bert_Richardson, 3 , 0
Beto_O'Rourke, 0
Beto_O’Rourke, 17 , 0
Bill_Flores, 11 , 0
Bill_Zedler, 26 , 0
Blake_Farenthold, 10 , 0
Bob_Hall, 20 , 0
Bob_Libal, 17 , 0
Bobby_Guerra, 4 , 0
Borris_L._Miles, 1 , 0
Borris_Miles, 15 , 0
Brandon_Creighton, 13 , 0
Brian_Babin, 3 , 0
Brian_Birdwell, 25 , 0
Brooks_Landgraf, 1 , 0
Bryan_Hughes, 12 , 0
Byron_Cook, 20 , 0
Carlos_Uresti, 20 , 0
Carol_Alvarado, 8 , 0
Cecil_Bell, 19 , 0
Cecil_Bell_Jr., 10 , 0
Celia_Israel, 11 , 0
Cesar_Blanco, 3 , 0
Charles_Anderson, 1 , 0
Charles_Perry, 29 , 0
Charles_Schwertner, 12 , 0
Charlie_Geren, 20 , 0
Cheryl_Johnson, 2 , 0
Chris_Paddie, 3 , 0
Chris_Turner, 19 , 0
Christi_Craddick, 10 , 0
Cindy_Burkett, 11 , 0
Craig_Estes, 27 , 0
Craig_Goldman, 4 , 0
Dade_Phelan, 2 , 0
Dan_Flynn, 36 , 0
Dan_Huberty, 18 , 0
Dan_Patrick, 88 , 0
David_Newell, 3 , 0
David_Newll, 1 , 0
David_Porter, 19 , 0
David_Simpson, 35 , 0
Dawnna_Dukes, 19 , 0
Debbie_Riddle, 33 , 0
Debra_Lehrmann, 1 , 0
Dennis_Bonnen, 34 , 0
Dennis_Paul, 2 , 0
DeWayne_Burns, 3 , 0
Diego_Bernal, 4 , 0
Don_Huffines, 23 , 0
Don_R._Willett, 1 , 0
Don_R_Willett, 2 , 0
Don_Willett, 10 , 0
Donna_Campbell, 77 , 0
Donna_Howard, 29 , 0
Doug_Miller, 7 , 0
Drew_Darby, 13 , 0
Drew_Springer, 13 , 0
Dustin_Burrows, 1 , 0
Dwayne_Bohac, 5 , 0
Ed_Thompson, 19 , 0
Eddie_Johnson, 24 , 0
Eddie_Lucio_III, 16 , 0
Eddie_Lucio_Jr., 27 , 0
Eddie_Rodriguez, 19 , 0
Elliott_Naishtat, 28 , 0
Elsa_Alcala, 1 , 0
Eric_Johnson, 34 , 0
Eva_Guzman, 3 , 0
Filemon_Vela, 5 , 0
Four_Price, 98 , 0
Garnet_Coleman, 46 , 0
Gary_Elkins, 16 , 0
Gary_VanDeaver, 1 , 0
Geanie_Morrison, 13 , 0
Gene_Green, 30 , 0
