name,nonempty,empty
Abel_Herrero, 82 , 0
Al_Green, 39 , 0
Allen_Fletcher, 1 , 0
Alma_Allen, 41 , 0
Ana_Hernandez, 53 , 0
Andrew_Murr, 8 , 0
Angie_Chen_Button, 41 , 0
Armando_Martinez, 28 , 0
Armando_Walle, 51 , 0
Barbara_Hervey, 5 , 0
Barbara_Parker_Hervey, 4 , 0
Bert_Richardson, 33 , 0
Beto_bak, 0 , 0
Beto_O’Rourke, 47 , 0
Bill_Flores, 150 , 0
Bill_Zedler, 103 , 0
Blake_Farenthold, 84 , 0
Bob_Hall, 41 , 0
Bob_Libal, 7 , 0
Bobby_Guerra, 21 , 0
Borris_L._Miles, 9 , 0
Borris_Miles, 74 , 0
Brandon_Creighton, 118 , 0
Brian_Babin, 12 , 0
Brian_Birdwell, 105 , 0
Brooks_Landgraf, 1 , 0
Bryan_Hughes, 87 , 0
Byron_Cook, 125 , 0
Carlos_Uresti, 142 , 0
Carol_Alvarado, 124 , 0
Cecil_Bell, 33 , 0
Cecil_Bell_Jr., 22 , 0
Celia_Israel, 37 , 0
Cesar_Blanco, 10 , 0
Charles_Anderson, 5 , 0
Charles_Perry, 149 , 0
Charles_Schwertner, 161 , 0
Charlie_Geren, 160 , 0
Cheryl_Johnson, 10 , 0
Chris_Paddie, 40 , 0
Chris_Turner, 124 , 0
Christi_Craddick, 91 , 0
Cindy_Burkett, 69 , 0
Craig_Estes, 108 , 0
Craig_Goldman, 28 , 0
Dade_Phelan, 3 , 0
Dan_Flynn, 143 , 0
Dan_Huberty, 76 , 0
Dan_Patrick, 105 , 0
David_Newell, 4 , 0
David_Newll, 1 , 0
David_Porter, 90 , 0
David_Simpson, 237 , 0
Dawnna_Dukes, 75 , 0
Debbie_Riddle, 149 , 0
Debra_Lehrmann, 60 , 0
Dennis_Bonnen, 123 , 0
Dennis_Paul, 3 , 0
DeWayne_Burns, 4 , 0
Diego_Bernal, 12 , 0
Don_Huffines, 51 , 0
Don_R._Willett, 1 , 0
Don_Willett, 54 , 0
Donna_Campbell, 192 , 0
Donna_Howard, 229 , 0
Doug_Miller, 43 , 0
Drew_Darby, 84 , 0
Drew_Springer, 28 , 0
Dustin_Burrows, 7 , 0
Dwayne_Bohac, 66 , 0
Ed_Thompson, 11 , 0
Eddie_Johnson, 1 , 0
Eddie_Lucio_III, 72 , 0
Eddie_Lucio_Jr., 105 , 0
Eddie_Rodriguez, 70 , 0
Elliott_Naishtat, 66 , 0
Elsa_Alcala, 17 , 0
Eric_Johnson, 91 , 0
Eva_Guzman, 43 , 0
Filemon_Vela, 40 , 0
Four_Price, 46 , 0
Garnet_Coleman, 245 , 0
Gary_Elkins, 48 , 0
Gary_VanDeaver, 3 , 0
Geanie_Morrison, 52 , 0
Gene_Green, 76 , 0
Gene_Wu, 31 , 0
George_P._Bush, 188 , 0
Gilbert_Pena, 9 , 0
Giovanni_Capriglione, 82 , 0
Glenn_Hegar, 30 , 0
Greg_Abbott, 1256 , 0
Greg_Bonnen, 26 , 0
Harold_Dutton, 106 , 0
Helen_Giddings, 58 , 0
Henry_Cuellar, 246 , 0
Hubert_Vo, 89 , 0
Ina_Minjarez, 6 , 0
J._M._Lozano, 87 , 0
J.D._Sheffield, 26 , 0
James_Frank, 17 , 0
James_White, 90 , 0
Jane_Nelson, 375 , 0
Jason_Isaac, 65 , 0
Jason_Villalba, 105 , 0
Jeb_Hensarling, 89 , 0
Jeff_Brown, 23 , 0
Jeff_Leach, 36 , 0
Jeffrey_Boyd, 8 , 0
Jeffrey_S._Boyd, 4 , 0
Jessica_Farrar, 133 , 0
Jim_Keffer, 183 , 0
Jim_Murphy, 66 , 0
Jimmie_Don_Aycock, 122 , 0
Joan_Huffman, 143 , 0
Joaquin_Castro, 220 , 0
Jodie_Laubenberg, 98 , 0
Joe_Barton, 180 , 0
Joe_Deshotel, 91 , 0
Joe_Farias, 30 , 0
Joe_Pickett, 142 , 0
Joe_Straus, 1103 , 0
John_Carter, 70 , 0
John_Cornyn, 783 , 0
John_Culberson, 94 , 0
John_Cyrier, 7 , 0
John_Devine, 18 , 0
John_Frullo, 43 , 0
John_Kuempel, 31 , 0
John_Otto, 115 , 0
John_Raney, 58 , 0
John_Ratcliffe, 28 , 0
John_Smithee, 93 , 0
John_Whitmire, 247 , 0
John_Wray, 7 , 0
John_Zerwas, 182 , 0
Jonathan_Stickland, 114 , 0
Jose_Menendez, 37 , 0
Jose_Rodriguez, 46 , 0
Joseph_Moody, 26 , 0
Juan_Hinojosa, 12 , 0
Judith_Zaffirini, 343 , 0
Justin_Rodriguez, 14 , 0
Kay_Granger, 79 , 0
Kel_Seliger, 331 , 0
Kelly_Hancock, 116 , 0
Ken_King, 23 , 0
Ken_Paxton, 403 , 0
Kenneth_Sheets, 39 , 0
Kenny_Marchant, 54 , 0
Kevin_Brady, 74 , 0
Kevin_Eltife, 178 , 0
Kevin_Yeary, 3 , 0
Kirk_Watson, 246 , 0
Konni_Burton, 85 , 0
Kyle_Janek, 207 , 0
Kyle_Kacal, 55 , 0
Lamar_Smith, 170 , 0
Larry_Gonzales, 106 , 0
Larry_Phillips, 108 , 0
Larry_Taylor, 220 , 0
Lawrence_E._Meyers, 2 , 0
Lawrence_Meyers, 16 , 0
Leighton_Schubert, 5 , 0
Linda_Koop, 20 , 0
Lloyd_Doggett, 262 , 0
Lois_Kolkhorst, 166 , 0
Louie_Gohmert, 124 , 0
Lyle_Larson, 111 , 0
Mac_Thornberry, 50 , 0
Marc_Veasey, 134 , 0
Marisa_Marquez, 50 , 0
Mark_Keough, 2 , 0
Marsha_Farney, 48 , 0
Mary_Gonzalez, 13 , 0
Matt_Krause, 63 , 0
Matt_Rinaldi, 30 , 0
Matt_Schaefer, 41 , 0
Matt_Shaheen, 10 , 0
Michael_Burgess, 83 , 0
Michael_E._Keasler, 1 , 0
Michael_Keasler, 17 , 0
Michael_McCaul, 198 , 0
Mike_Conaway, 92 , 0
Mike_Schofield, 13 , 0
Molly_White, 16 , 0
Morgan_Meyer, 13 , 0
Myra_Crownover, 95 , 0
Nathan_Hecht, 79 , 0
Nathan_L._Hecht, 3 , 0
Nicole_Collier, 17 , 0
Oscar_Longoria, 14 , 0
Pat_Fallon, 12 , 0
Patricia_Harless, 59 , 0
Paul_Bettencourt, 53 , 0
Paul_Green, 37 , 0
Paul_Workman, 83 , 0
Pete_Olson, 59 , 0
Pete_Sessions, 184 , 0
Phil_Johnson, 21 , 0
Phil_King, 150 , 0
Phil_Stephenson, 17 , 0
Poncho_Nevarez, 3 , 0
R.D._Bobby_Guerra, 0 , 0
Rafael_Anchia, 162 , 0
Ramon_Romero, 9 , 0
Randy_Neugebauer, 81 , 0
Randy_Weber, 88 , 0
Rene_Oliveira, 71 , 0
Richard_Raymond, 69 , 0
Rick_Galindo, 10 , 0
Rick_Miller, 13 , 0
Robert_Nichols, 154 , 0
Roberto_Alonzo, 53 , 0
Rodney_Anderson, 72 , 0
Rodney_Ellis, 439 , 0
Roger_Williams, 176 , 0
Roland_Gutierrez, 31 , 0
Ron_Reynolds, 43 , 0
Ron_Simmons, 28 , 0
Royce_West, 209 , 0
Ruben_Hinojosa, 59 , 0
Ruth_Jones_McClendon, 67 , 0
Ryan_Guillen, 45 , 0
Ryan_Sitton, 74 , 0
Sam_Johnson, 45 , 0
Sarah_Davis, 90 , 0
Scott_Sanford, 19 , 0
Scott_Turner, 67 , 0
Senfronia_Thompson, 165 , 0
Sergio_Munoz, 25 , 0
Sharon_Keller, 42 , 0
Sheila_Jackson_Lee, 117 , 0
Sid_Miller, 214 , 0
Stephanie_Klick, 38 , 0
Stuart_Spitzer, 13 , 0
Susan_King, 32 , 0
Sylvester_Turner, 254 , 0
Sylvia_Garcia, 88 , 0
Tan_Parker, 55 , 0
Ted_Cruz, 1496 , 0
Ted_Poe, 78 , 0
Terry_Canales, 24 , 0
Todd_Hunter, 94 , 0
Tom_Craddick, 523 , 0
Toni_Rose, 6 , 0
Tony_Dale, 24 , 0
Tony_Tinderholt, 18 , 0
Tracy_King, 58 , 0
Travis_Clardy, 24 , 0
Trent_Ashby, 33 , 0
Trey_Martinez_Fischer, 287 , 0
Troy_Fraser, 246 , 0
Van_Taylor, 151 , 0
Wayne_Faircloth, 24 , 0
Wayne_Smith, 87 , 0
Will_Hurd, 59 , 0
Will_Metcalf, 11 , 0
William_Zedler, 1 , 0
William_Zedlerbak, 1 , 0
Yvonne_Davis, 52 , 0
