"Abel Herrero",statewide-active,Representative,Democrat
"Al Green",federal-active,Representative,Democrat
"Allen Fletcher",statewide-active,Representative,Republican
"Alma Allen",statewide-active,Representative,Democrat
"Ana Hernandez",statewide-active,Representative,Democrat
"Andrew Murr",statewide-active,Representative,Republican
"Angie Chen Button",statewide-active,Representative,Republican
"Armando Martinez",statewide-active,Representative,Democrat
"Armando Walle",statewide-active,Representative,Democrat
"Barbara Hervey",statewide-active-elected,Judge Court of Criminal Appeals Pl 7,Republican
"Bert Richardson",statewide-active-elected,Judge Court of Criminal Appeals Pl 3,Republican
"Beto Rourke",federal-active,Representative,Democrat
"Bill Flores",federal-active,Representative,Republican
"Bill Zedler",statewide-active,Representative,Republican
"Blake Farenthold",federal-active,Representative,Republican
"Bob Hall",statewide-active,Senator,Republican
"Bobby Guerra",statewide-active,Representative,Democrat
"Borris Miles",statewide-active,Representative,Democrat
"Brandon Creighton",statewide-active,Senator,Republican
"Brian Babin",federal-active,Representative,Republican
"Brian Birdwell",statewide-active,Senator,Republican
"Brooks Landgraf",statewide-active,Representative,Republican
"Bryan Hughes",statewide-active,Representative,Republican
"Byron Cook",statewide-active,Representative,Republican
"Carlos Uresti",statewide-active,Senator,Democrat
"Carol Alvarado",statewide-active,Representative,Democrat
"Cecil Bell",statewide-active,Representative,Republican
"Celia Israel",statewide-active,Representative,Democrat
"Cesar Blanco",statewide-active,Representative,Democrat
"Charles Anderson",statewide-active,Representative,Republican
"Charles Perry",statewide-active,Senator,Republican
"Charles Schwertner",statewide-active,Senator,Republican
"Charlie Geren",statewide-active,Representative,Republican
"Cheryl Johnson",statewide-active-elected,Judge Court of Criminal Appeals Pl 5,Republican
"Chris Paddie",statewide-active,Representative,Republican
"Chris Turner",statewide-active,Representative,Democrat
"Christi Craddick",statewide-active-elected,Commissioner Railroad Commission of Texas,Republican
"Cindy Burkett",statewide-active,Representative,Republican
"Craig Estes",statewide-active,Senator,Republican
"Craig Goldman",statewide-active,Representative,Republican
"Dade Phelan",statewide-active,Representative,Republican
"Dan Flynn",statewide-active,Representative,Republican
"Dan Huberty",statewide-active,Representative,Republican
"Dan Patrick",statewide-active-elected,Lieutenant Governor,Republican
"David Newell",statewide-active-elected,Judge Court of Criminal Appeals Pl 9,Republican
"David Porter",statewide-active-elected,Commissioner Railroad Commission of Texas,Republican
"David Simpson",statewide-active,Representative,Republican
"Dawnna Dukes",statewide-active,Representative,Democrat
"DeWayne Burns",statewide-active,Representative,Republican
