name,show,n
"Abel Herrero",18,20
"Al Green",
"Allen Fletcher",
"Alma Allen",
"Ana Hernandez",
"Andrew Murr",
"Angie Chen Button",
"Armando Martinez",
"Armando Walle",
"Barbara Hervey",
"Bert Richardson",
"Bill Flores",
"Bill Zedler",
"Blake Farenthold",
"Bob Hall",
"Bobby Guerra",
"Borris Miles",
"Brandon Creighton",
"Brian Babin",
"Brian Birdwell",
"Brooks Landgraf",
"Bryan Hughes",
"Byron Cook",
"Carlos Uresti",
"Carol Alvarado",
"Cecil Bell",
"Celia Israel",
"Cesar Blanco",
"Charles Anderson",
