title	date	source	url	language	text
                          Rep. Allen Fletcher to provide legislative update Aug. 1         	2013-07-23	HOUSTON CHRONICLE	http://www.chron.com//neighborhood/spring/business/article/Rep-Allen-Fletcher-to-provide-legislative-update-4682128.php	en	representative allen fletcher will update his tomball constituents about the texas legislatures 83rd session on thursday aug 1 according to a greater tomball area chamber of commerce release the republican representing district 130 will address the greater tomball pachyderm club meeting at 630 pm at the lone star collegetomball  community library room l129 30555 tomball parkway for more information call barbara tague at 7138510737 email 4taguesbcglobalnet or visit wwwtomballchamberorg
                          State Rep. Allen Fletcher to speak Oct. 22         	2013-10-11	HOUSTON CHRONICLE	http://www.chron.com//neighborhood/spring/news/article/State-Rep-Allen-Fletcher-to-speak-Oct-22-4888247.php	en	the yellow rose of texas republican women will host state representative allen fletcher at 630 pm tuesday oct 22 at ciscos salsa co in tomball fletcher a tomball resident who represents district 130 will discuss events of the recent legislative session according to the press release from the yellow rose of texas republican women tickets are required admission is 13 for dinner and 5 for beverage only make recommended reservations to recordsecretaryyellowroserwcom   ciscos salsa co is at 207 commerce st tomball
                          Plans for housing complex are nixed         	2012-05-01	HOUSTON CHRONICLE	http://www.chron.com//neighborhood/cyfair-news/article/Plans-for-housing-complex-are-nixed-3525283.php	en	plans to bring a low income housing unit to the copperfield area have been shelved by the developer stuart shaw president of austinbased bonner carrington llc said at a recent townhall meeting his company was withdrawing its application to the texas department of housing and community affairs to build a 188unit apartment complex at the intersection of jackrabbit road and texas 6 after a brief meeting with state senator dan patrick rhouston an estimated 400 residents along with patrick and state representatives allen fletcher rtomball and dwayne bohac rhouston packed a classroom at a local church during a townhall meeting hoping to stop the development of the apartment complex for low income residents patrick who had met shaw previously approached him during a public commentary by the residents asked him to reconsider his plans and suggested a meeting between shaw and the copperfield coalition there are a lot of people in this industry who would never have taken the high road patrick said of shaw i give him a lot of credit and i give the people credit this is the way its supposed to work  however before his announcement to withdraw shaw was met with animosity and was frequently interrupted as he tried to explain his position to copperfield residents i have been listening to what you are saying he said i dont blame you for being concerned but we are not doing what you are saying we would not come to your neighborhood or anyone elses neighborhood to hurt we came to help  residents within the copperfield community learned through the copperfield coalition led by anthony cecala that  three low income housing developments were planned for the copperfield area it was later determined that applications for a 120unit development planned for huffmeister and texas 6 and a 134unit complex for queenston and barkercypress which were reportedly designed for low income elderly residents were withdrawn because they did not meet the states criteria gordon anderson senior communications advisor for the texas department of housing and community affairs said a suitable location for low income housing is often determined by how competitive the school district is whether or not there are jobs in the area and whether or not there is access to public transportation this application did not meet the departments threshold requirements and it was terminated anderson said while the current contracts have been withdrawn anderson said nothing will be final until the end of july this is a process that started back in december so this is a very lengthy evaluation process he said they wont be considered in this years cycle but that does not mean they cannot come back into play in the 2013 cycle  meanwhile shaw said he didnt blame the residents in copperfield for being concerned and apologized and asked that members of the coalition meet to discuss any future plans should shaw and bonner carrington decide to come back cecala said he and the copperfield coalition would be willing to listen and discuss the matter sometime in the future in the interim the copperfield coalition is expecting confirmation of shaws intentions before they take any action but they will hold onto that petition just in case we were waiting for something in writing telling us that the developer is not going to pursue cecala said we will just keep the petition on file if this ever comes up again  bryan kirk is a freelance writer and you can contact him at brykirkgmailcom
                          Terri Leo hopes to hand pick her successor for SBOE         	2011-12-21	HOUSTON CHRONICLE	http://blog.chron.com/texaspolitics/2011/12/terri-leo-hopes-to-hand-pick-her-successor/	en	the texas state board of education could see some major changes as all 15 seats will be up for grabs after the new district maps are finalized but one change is certain longtime conservative member terri leo will be gone leo has announced she will vacate her seat and has endorsed donna bahorich republican volunteer from houston for her former position bahoric has said she will focus on three primary issues as a board member including oversight of the permanent school fund emphasizing the need for an abstinencebased approach to sex education in textbooks and instilling a sense of pride in american citizenship in students graduating form the public school system  however leo is not the only republican to endorse bahoric for the position so far others include state senator dan patrick who bahoric previously worked for as district director state representative dewayne bohac allen fletcher and debbie riddle and retired judge paul pressler who has announced he will work as her campaign treasurer donna bahorich has been an integral part of my senate staff for 5 years serving as my district director said her former boss senator dan patrick she is conservative hardworking and smart 
                          Using apples and oranges to assess Texas public school funding         	2011-11-17	HOUSTON CHRONICLE	http://blog.chron.com/pattihart/2011/11/using-apples-and-oranges-to-assess-texas-public-school-funding/	en	the texas aft an advocacy group for texas teachers thursday released a web survey of more than 3500 teachers school employees and parents and concluded that state budget cuts to public education have caused larger classes reduced programs and fewer teachers across the state but the report highlights continued spin over the legislatures funding of public education the texas aft cites a figure of 54 billion in funding cuts  which is the amount of money lawmakers would have spent had they  continued existing funding formulas some republicans continue to claim that the legislature actually increased its financial support for education for this biennium but that analysis does not account for the 325 billion lawmakers used from federal recovery money to fund texas public schools last budget cycle while more state tax dollars are going to education overall  lawmakers are no longer relying on the federal stimulus dollars to pay for local schools in other words some republicans are comparing this years budget to last years when onetime federal stimulus money supplanted the need to use state tax revenue representative allen fletcher rtomball made a recent claim in his newsletter to constituents that the texas legislature increased funding to education called on that claim by a constituent fletcher responded in a letter with this explanation in 2009 the state legislature passed a budget with texas agencies of education receiving 754 billion this amount included federal stimulus dollars this past session the legislature knew that these stimulus dollars would not be available and dug deep in the states pockets and made huge cuts throughout the budget and increased state funding to help offset the federal stimulus dollars that were not made available by the federal government the biennium budget for texas agencies of education for 20112013 is 756 billion and does not include federal stimulus dollars discounting federal stimulus which the state legislature cannot grant the state legislature increased state education spending by 16 billion what fletchers analysis also doesnt mention that texas public schools will grow by an estimated 160000 new students during the current budget cycle which means in real terms school districts will have hundreds of dollars less per pupil to spend according to texas afts survey that funding reduction is showing up in the classroom with 87 percent of respondents reporting increased class sizes in their districts
                          'Sanctuary cities' ban passes in late-night vote         	2011-05-09	HOUSTON CHRONICLE	http://www.chron.com//news/houston-texas/article/Sanctuary-cities-ban-passes-in-late-night-vote-1686458.php	en	austin  after taking the unusual and controversial strategy of cutting off debate the texas house late monday voted 99 to 47 in favor of a ban on sanctuary cities despite objections that the measure was unnecessary and will increase racial profiling against hispanics house republicans voted to end debate by calling for an immediate vote on the bill shutting down debate on amendments after four hours of sometimes heated discussion democrats roundly criticized the tactic almost as emotionally as the underlying legislation and faulted house speaker joe straus for allowing the maneuver is this the intended course that the chair intends to exercise as we proceed  asked state representative sylvester turner dhouston if the chair along with the supermajority  if they will simply let the rest of us know  which bills they intend to have proceed regardless of debate and points of order  they will save us a lot of time and effort no question the supermajority can pass any bill at any time  turner was referring to the supermajority enjoyed by the 101 house republicans state representative harold dutton dhouston suggested that by cutting off debate democrats have no input into legislation is this the sine die for the rest of us  dutton asked using the latin term for the end of the legislative session i just want to know if my session was shortened by 21 days  the abrupt ending followed hours of contentious debate and daylong negotiations on house bill 12 which bans local governments from adopting policies prohibiting law enforcement officials from inquiring about the immigration status of detained individuals opponents led by hispanic democrats offered personal stories of racial profiling appealing to the overwhelmingly republican texas house to reconsider the bills allbutcertain passage state representative jose menendez dsan antonio recounted the story of how his father a cuban immigrant who spoke little english went out to paint his house shortly after moving to the valley a police officer drove up demanded his papers and threw him in the back of a police cruiser menendez said only the intercession of his wife who spoke better english saved him from arrest he urged rejection of the proposal arguing it will cause 9 million legally living latinos in this state to live in fear all of us in this room we speak the language but many of you in this room have family members friends people you go to church with who are now going to have some fear in their lives  the bill given emergency status by governor rick perry would prohibit government entities from instructing law enforcement personnel not to inquire into the immigration status of persons detained in a criminal investigation opponents say it would lead to racial profiling and diminished trust of law enforcement in the hispanic community during the initial debate friday opponents delayed the measures passage by raising a point of order about a technical flaw in recordkeeping it was one of several bills delayed last week when democrats used a strict reading of the house rule book tensions boiled over in the texas house saturday when republicans responded by using their 101voting strength to cut off debate on a controversial bill to curtail frivolous lawsuits after a meeting of the republican caucus monday caucus chair larry taylor rfriendswood said republicans will not shirk from using their voting strength to shut down democratic stalling tactics we are going to continue to work with our democratic colleagues he said but we are not going to let a handful of members overrule the will of the house they are going to lose and we are going to win  in floor debate state representative allen fletcher rtomball argued that lawmakers were insulting law enforcement by suggesting there would be abuses he said the measure would be a tool for law enforcement combat the terrorist element in this state state representative jose alisedo rbrownsville said the bill should not be feared because federal law already outlaws sanctuary cities my skin is brown i am hispanic and i am not afraid of house bill 12 he said ive been driving mexican for all those years and i have never suffered racial profiling  the senate has not taken action on a sanctuary cities bill pattihartchroncom
Tussle in G.O.P. As Challengers Eye Primaries	2013-11-01	New York Times	http://www.nytimes.com/2013/11/01/us/tussle-in-gop-as-challengers-eye-primaries.html	en	advertisement advertisement this is not unusual candidates lining up to challenge incumbents in primary elections that is a simple risk of political life but this is unusual a member of the legislature actively working to knock off a sitting legislator from the same political party so it got a little attention from the whispering set when representative allen fletcher republican of tomball endorsed danny pelton in the republican primary for a central texas house seat currently claimed by representative j d sheffield of gatesville mr fletcher the chairman of the texas legislative tea party caucus is not alone in the elected class jerry patterson the texas land commissioner who is a candidate for lieutenant governor is on board as is state senator craig estes of wichita falls mr pelton also has the support of some tea party leaders and other conservatives who uniformly have labeled mr sheffield as a liberal republican who doesnt always toe the party line i get tired of having someone sitting behind me in my party canceling my vote fletcher said whats happening to mr sheffield  and to republican colleagues like representatives angie chen button of richardson and bennett ratliff of coppell and state senator john carona of dallas  is evidence that much of the real political action in texas happens not in november general elections but in republican primary elections in march its evident in most of the statewide races partly because most of those seats are open and there are more ambitious republicans than there are jobs for them its a competitive year at least with the notable exception of the three challengers to lieutenant governor david dewhurst they waited for the incumbents to move along legislators are often under fire  so much so that it would be downright strange to go through an election cycle without a few incumbents falling to challenges with texas republicans acting like two parties operating under one flag it is increasingly common to see the populists raging against the establishment within the party to get ready for general elections the political plotters look at districts to pick their best targets for challenges they are looking for a republican in a democratic district or vice versa or someone defending a swing district in a year that favors the other party in primary challenges it is a trickier analysis driven by rankings on partisan scorecards personalities or loyalties if the first is quantitative analysis the second is more qualitative that said mr sheffields voting record puts him on the less conservative end of the conservative majority in the house according to measures like one calculated by mark p jones a political scientist at rice university a corporate sponsor of the texas tribune dr jones considers all nonlopsided roll call votes  a way of saying he does not pick and choose which votes to use  and arrays members from liberal to conservative based on those votes in his latest ranking mr sheffield landed to the left of all but one of the houses 95 republican members advertisement advertisement those votes put him on somebodys list another disadvantage is that he is in his first term he is an incumbent who hasnt had time to become entrenched mr ratliff who will probably face one of the two opponents he defeated in 2012 in next years republican primary is also a freshman just getting his grip he gets more conservative marks than mr sheffield in dr joness rankings but a couple of tea party groups in his area hope to unseat him the revenge angle is apparently in mr sheffields race too he unseated an incumbent in 2012 who shared the same consultant now working for mr pelton and mr fletcher ms button has been in office longer but like mr ratliff and mr carona she has a challenger who is not getting obvious support from her house colleagues maybe thats coming but mr sheffield is the only candidate currently afflicted in that way in each case the challenge is coming from the right even though the legislature turned in a reliably conservative set of bills this year and drawing meaningful distinctions  the sorts of distinctions that make a difference to voters  gets more and more arcane in lowturnout party primaries arcane distinctions can make the difference rramseytexastribuneorg a version of this article appears in print on november 1 2013 on page a21a of the national edition with the headline tussle in gop as challengers eye primaries order reprints todays papersubscribe  
Texas Digest: Van Arsdale seeks House seat, Woman accused of getting...	2011-08-30	Austin American Statesman	http://www.statesman.com/news/news/state-regional/texas-digest-van-arsdale-seeks-house-seat-woman-ac/nRd2h/	en	politics   van arsdale seeks house seat former republican state representative corbin van arsdale who represented tomball in suburban houston from 2003 to 2009 wants to get back to the capitol this time representing some of williamson countys residents van arsdale announced his candidacy for the newly created house district 149 which includes much of cedar park and parts of leander georgetown and austin van arsdale a lawyer and lobbyist was defeated by representative allen fletcher who still occupies van arsdales old seat fletcher was supported by conservative state senator dan patrick rhouston who strongly opposed a business tax that van arsdale supported in 2006 so far van arsdale has the support of a onetime house colleague former representative dan gattis rgeorgetown the field of candidates could be crowded and might include local government officials from cedar park and leander also possibly in the mix is ted pataki son of former new york governor george pataki houston   mother accused of hiding rape  authorities have accused a houston woman of getting an abortion for her adopted 12yearold mentally disabled daughter in order to hide evidence of her sons alleged sexual assault of the girl the woman is charged with tampering with evidence for taking her daughter to a clinic in cleveland ohio where she had an abortion oct 22 her 19yearold son was indicted earlier this year on three counts of aggravated sexual assault of a child an attorney for the mothers son says the woman got the abortion as a concerned parent and not because she was trying to protect her son the names of the accused are being withheld to protect the girls identity galveston   jeffs moved to prison hospital polygamist sect leader warren jeffs described by a texas prison official as awake and alert was moved tuesday to a prison hospital for additional treatment after he became sick while fasting texas department of criminal justice spokeswoman michelle lyons said jeffs was flown from east texas medical center in tyler where he was admitted sunday to the texas prison hospital at galveston for security reasons after jeffs condition stabilized he remained in critical condition an official familiar with jeffs condition but not authorized to speak said monday that jeffs had been in a medically induced coma lyons disagreed with that description tuesday but said federal privacy laws prohibited her from disclosing more jeffs 55 was sentenced to life in prison for sexually assaulting underage girls 
Path forward remains unclear for so-called 'campus carry' proposal ...	2000-01-01	DALLAS MORNING NEWS	http://trailblazersblog.dallasnews.com/2015/05/path-forward-remains-unclear-for-so-called-campus-carry.html/	en	students make their way around campus at unt in denton on wednesday march 18 2015 vernon bryantthe dallas morning news austin  the path forward remains unclear for a measure to allow licensed texans to carry concealed handguns in most state university buildings representative allen fletcher the houses author of socalled campus carry told multiple news outlets on wednesday that he had struck a deal to fasttrack the proposal by attaching it in the senate to another highprofile gun bill thats already been approved by the house but maybe not so fast senator craig estes  who would carry the other bill open carry  said on thursday that fletcher was a little premature in that analysis  he said progun lawmakers were indeed looking at multiple possibilities to move forward but that nothing has been decided  and estes rwichita falls was quick to point out that the house could still act on the senates versions of campus carry and open carry we look forward to the house hearing our senate bills he said thats the main thing  with just over three weeks left in the session its uncertain what all the jockeying means  if anything  for campus carrys prospects the measure  which would allow private universities but not state ones to opt out  sped out of the senate the house version passed out of committee in late march but it has been stalled from reaching the floor by the house calendars committee house calendars committee chairman todd hunter said earlier in the week that he wasnt sure when campus carry might reach the floor he said the holdup was just a timing issue as the panel might look to group several gun bills onto to the same day fletchers proposal would allow campus carry to bypass the normal calendars process if the senate approved the houses open carry bill  with campus carry attached  then the house would just have to vote on whether they concur with the senate amendments fletcher rtomball said on thursday that hell stand by what i said  he said he met recently with estes lieutenant governor dan patrick and senator brian birdwell who authored the senates campus carry bill over the plan and he pointed out that patrick on wednesday referred the houses open carry bill to a senate committee fletcher said he would be happy for his campus carry bill to instead be heard on the house floor but he said the other path remained a viable option adding that all we were trying to do is broker a deal to get the bill passed  when they say that might be premature its premature that they havent done it it hasnt come to fruition he said but its not premature that we havent discussed it 
Texas on the verge of allowing 'open carry' of handguns | Dallas ...	2015-04-16	DALLAS MORNING NEWS	http://www.dallasnews.com/news/politics/headlines/20150417-texas-on-the-verge-of-allowing-open-carry-of-handguns.ece	en	austin  texas is on the verge of its most dramatic overhaul of firearms regulations in two decades as the house voted friday to allow licensed gun owners to openly carry handguns under the contentious proposal  tentatively approved on a 9635 vote  texans with the appropriate license would be able to carry handguns openly in a shoulder or belt holster the senate passed such a bill last month after a final vote next week  and once minor differences between the two chambers versions are ironed out  the measure would just need the ok from governor greg abbott he has said he will sign any legislation that expands second amendment rights  supporters said they were upholding constitutional rights and allowing greater liberty for gun owners that was long overdue though texans can already openly carry long guns such as rifles the state has long banned the practice for handguns the bill would align texas with 44 other states that allow some open carry of handguns its time to go ahead and take this next step said representative larry phillips rsherman the bills primary author its time to join the ranks of states like massachusetts  and allow our citizens to have this right  all but a few democrats opposed the bill while all republicans who were on hand voted for it police opposition democrats cited opposition from most police leaders they raised concerns that guns could more easily fall into the wrong hands and that officers could be confused about who is dangerous in a violent situation putting lawful gun owners at risk they offered several proposals to limit open carry but their amendments were consistently rejected by the houses solid gop majority and they said the bill was unnecessary given the broad acceptance of the current concealed handgun licensing program representative sylvester turner dhouston summed up his opposition in one word really  open carry is one of the two major pieces of gun legislation republicans are pushing in the legislature this year the other is campus carry or allowing the concealed carry of handguns in most state university buildings fridays measure would exempt college buildings from opencarry requirements that early focus marks gop lawmakers outreach to the partys conservative base which plays an increasingly outsized role in primary elections open carry which would go into effect in 2016 would have implications for other state gun rules since the bill is tied to the concealed handgun licensing program those rules  on where guns can be taken for instance  would also apply to openly carried handguns around 841500 texans currently have a concealed handgun license thats about 5 percent of texans who are 21 or older  the age requirement to get such a license for texans who are not active or former members of the armed services democrats efforts to limit the bill ranged from an amendment that would make it easier for businesses to post no guns signs to one requiring open carriers to display their license one idea to allow big cities like dallas to opt out of open carry drew debate from several north texas members are your constituents screaming out for open carry  representative rafael anchia asked his fellow dallas democrat representative eric johnson no they are not said johnson who offered the amendment is there a groundswell in dallas  from the business community from law enforcement from community groups that theres a problem that will be solved by open carry  asked anchia who had planned to offer a similar amendment no johnson said but i also recognize that there may be districts around the state where there is this outcry  gop representative kenneth sheets countered that many constituents in his dallas district did want open carry he said lawmakers shouldnt be treating the residents of the city of dallas any different than the residents of arlington or cleburne or college station  fears unwarranted the optout provision  like all the amendments offered by democrats  was overwhelmingly rejected the wide margins reflected strong support among republicans whove touted open carry as a safety measure and said fears about it are unwarranted they noted that predictions of increased violence were common when the state adopted concealedcarry 20 years ago republicans even succeeded in adding a provision that would reduce the penalty for those who take a concealed handgun onto property where its not allowed some tea party republicans  backed by a vocal group of gun rights activists  wanted more though pushing for the open carrying of handguns without a license representative jonathan stickland rbedford tried repeatedly to force a vote on socalled constitutional carry  phillips said the fate of that effort had long been decided  in part because of the antics of some gun rights advocates who support it early in the legislatures session one democratic lawmaker felt threatened by a small group of open carry advocates and a video of their protest in his office prompted house members to rally to his support its also how those that support your amendment have treated members of this house their families and our staff phillips told stickland republicans at one point appeared likely to attach campus carry to the open carry bill that proposal has also already passed out of the senate and though it has also cleared a house committee the bills house author representative allen fletcher rtomball tried to accelerate the progress but as tension rose in the house chamber he pulled the amendment follow tom benning on twitter at tombenning at a glance how the open carry bill works texans with an active concealed handgun license would be able to openly carry a handgun in a shoulder or belt holster starting in 2016 to get such a license in texas you must pass a background check get four to six hours of classroom training pass written and physical tests and pay a 140 fee about 841500 texans currently have a concealed handgun license thats about 5 percent of texans who are 21 or older  the age requirement to get such a license for texans who are not active or former members of the armed services texas would be the 45th state to allow some form of open carry of handguns texas already allows open carry of long guns such as rifles open carry wouldnt be allowed in areas where concealed carry is currently barred those areas include schools bars sporting events and businesses that have posted no guns signs if lawmakers this year also approve campus carry which would allow concealed carry of handguns in most public university buildings open carry still wouldnt be allowed in those areas whats next after a final procedural vote in the house next week the house and senate will have to reconcile minor differences in their versions of the measure and send it to governor greg abbott who is expected to sign it
