title	date	source	url	language	text
                          Monday's Scholastic Sports Boxscores        	2011-04-25	HOUSTON CHRONICLE	http://www.chron.com//news/article/Monday-s-Scholastic-Sports-Boxscores-1352138.php	en	baseball stamford 10 fair ludlowe 5 fair ludlowe040 100 0 5 11 2 stamford030 610 x 10 12 2 records fairfield ludlowe 46 stamford 55 batteries fl  patrick gutierrez l timothy moran 4 nick chandler 4 victor dascenzo 5 alex wright 6 and chris kennedy michael nagy 7 s  john mcclafferty w 12 trevor kane 6 and jason lorusso hr  dascenzo  new canaan 4 trinity catholic 1 trinity catholic 000 0 0 0  1 5 2 new canaan 100 102 0  4 8 2 records trinity catholic 36 new canaan 63 batteries tc  chris neuschler l and sammy dominquez nc  alex farina w and casey ouellette home runs nc  cameron armstrong staples 4 darien 1 staples000 0031 4 7 1 darien001 000 0 1 4 1 records staples 90 80 fciac darien 45 34 fciac batteries s  rob gau w 30 and alex gandolfo mike mcgowan 4 d  andrew hurn l 22 ricky miller 7 and sam gillespie danbury 9 ridgefield 2 ridgefield010 100 0 2 2 1 danbury141 111 x 9 14 0 records ridgefield 35 25 fciac danbury 62 52 fciac batteries r  pat molyneaux l brad rosenfield 3 and eric jones d  stephen dickerson w 31 and austin calitro st joseph 18 bassick 0 st joseph093 123 0  18 20 2 bassick 000 000 0  0 0 5 records st joseph 90 70 fciac bassick 09 09 fciac batteries t  steve chille w 10 ethan szabo 6 and joe burns zack carrano 3 b  machael tantimarico adalberto ramirez 5 and angel ramirez trumbull 9 bpt central 5 bpt central 0 0 0 0 1 1 3  5 3 1 trumbull0 0 5 2 0 2 x  9 6 0 records trumbull 64 batteries t lucas sagar dj angelo 5 connor blanc 7 and thomas fox bc  eric villanova robert torres 3 and chrtistian sullivan softball fairfield ludlowe 6 stamford 4 stamford000 130 04 9 3 fair ludlowe310 200 x6 8 2 records stamford 82 fairfield ludlowe 64 batteries staylor zito l 22 and melissa king flaliza guerrero w 41 and elise perazzini wilton 5 norwalk 4 norwalk 0 0 0 0 4 0 0  4 7 3 wilton 1 0 1 1 0 2 x  5 9 5 records wilton 63 62 fciac batteries n  patti sciglimpaglia l and mary sciglimpaglia w  dani miskinis w and heather sabino trumbull 4 central 1 trumbull000 120 14 3 0 central000 000 11 2 1 records central 18 batteries tnicole commarota w and erica quinones cjackie medina l and karina nieves highlights tchristle costello had an rbi hit cartiles had an rbi greenwich academy 3 king 1 king 100 000 0  1 5 2  greenwich academy201 000 x  3 4 1 records king 14 04 ga 44 40 batteries k  emily klotz l and casey howard johnson ga  sarah guggenheimer w and ana hernandez 2b k  khandice dyson 3b g  hannah staab boys lacrosse ridgefield 15 norwalk 5 norwalk2 1 1 1 5 ridgefield6 3 3 3 15 records norwalk 35 scoring n  jesse levitt 2 goals daquan keel 1g derick edwards 2g clifton prophete 1a r  grayson wiley 4g matt hrvatin 1g 1a zucky 4g 1a eric scala 2g sam waring 1g john dighton 1g gearez 1g goalies n  ricky squires 5 saves gil araujo 3 saves r  adam winne 11 saves girls lacrosse st joseph 17 lauralton hall 5 st joseph9 817 lauralton hall4 15 records st joseph 16 lauralton hall 06 scoring sjnicole miles 3g libby deluca 2g katie bradley 2g marissa roballey 2g taylor whiting 1g2a laura bellows 4g2a britt vizzo 3a julie docarmo 1a nicole healey 2g1a tara tallon 1g devin colandro 1a lhjulie laperch 1g aubrey lowe 1g allison carey 1g christina gould 1g micaela kwochka 1g goalies sjcassie collins15 saves lhnicole sweeny 6 shots sj23 lh20 staples 14 conard 7 staples7 714 conard6 17 records staples 70 conard 34 scoring smaeve flaherty 4g 1a jessie ambrose 2g 3a elizabeth driscoll 2g 1a ryan kirschner 2g ali crofts 2g nikki seo 1g 2a remy nolan 1g adele mackey 1a cellie schwab 3g 1a sarah marquis 2g mary kate daly 2g meg ryan 1a goalies spenny tsilfides 3 saves cnora daly 17 shots s31 c10 mcmahon 15 trumbull 6 mcmahon5 1015 trumbull2 46 records mcmahon 15 trumbull 24 scoring mdevan machette 7 g 1a karly barrreno 3 g 1a megan raymond 1g kiki goodwin 1 g megan bradley 1g allison granata 1g morgan machette 1g tnatalie crowe 2g mary rose rappa 1g camille bova 1g lisa pulie 1 g nora collins 1g stephanie dicostanzo 1a goalies mmichelle petrucci 13 saves tari motz 10 shots m25 t25 boys tennis darien 7 trinity catholic 0  singles gavin mcnulty d def joe garcia tc 60 61 ryo usami d def sen haas tc 60 62 charles khacian d def paulo delarosa tc 60 60 cal kevorkian d def will lavallo 60 61 rupert hansford d def abraham pierrot tc 61 60 doubles malcolm willisdominic hansford d def nick narinotim sugrue tc 60 60 miller schweizerbriton dailey d def jon ulloemario paredes tc 60 60 stamford 7 central 0 at stamford lukas renaud def gregory casserly 63 75 sam sterman def sherwin yu 61 61 yash mansukhani def dennis aguilar 63 61 brendan george def edwin yu 60 60 peter tallcouch def sheldon mitchell 61 60 doubles jeff jablonneil fitzpatrick def lucky keophanngaluis loor 60 60 chris waltersteddy faigno def oscar gomezsam wong 63 60 new canaan 6 mcmahon 1 singles thomas luchars m def chae urban 06 63 63 will burger nc def jonathan young 61 76 73 steve evans nc def drishawn lewis 61 61 tom worcester nc def maurice thomas 61 61 devin mcveigh nc def mitchell mcmahon 61 60 doubles luke mcdermott jack howard nc def jacob moulden casey rawson 75 64 david salama pj webb nc def erik chiodo reggy lezeau 60 60 records new canaan 90 60 fairfield warde 7 fairfield ludlowe 0 at ludlowe singles ted berkowitz def reed andren 63 63 josh burger def dan adajian 36 75 64 eyad nagori def alex barker 63 61 dave ohara def james reiss 46 63 76 jake blumenfeld def peter wykoff 63 67 61 doubles adam warner and kevin sullivan def charlie cottler and robbie karson 61 61 peter simons and devin polton def mike oneil and matt casey 63 61 records fairfield ludlowe 24 trumbull 5 danbury 2 at trumbull singles tommy inouye d def joshua rubenstein 63 63 erik flack t def sean inouye 60 61 jesse rubenstein t def michael kiselok 62 63 aarya schenoi t def jack gannon 61 61 jacob reich d def jason elias 64 36 63 doubles peter perrino and max gottschall t def justin sullivan and jacob schuster 60 61 records trumbull 43 danbury 25 king 4 st lukes 3 singles roy skinner stl def billy smithline 64 61 luke osherow stl def tyler murray 64 75 gardner tregallas stl def carter anatole 63 62 christian deschapelles k def george condon 61 63 doubles christopher cieszkodavid meyer k def justin hartwiley velislige 61 75 tom rosenfeldalex streich k def alex chungian buckley 60 64 mathias perfumopeter hughes k def aiden stoneethan pearce 57 62 107 pro set girls tennis new canaan 7 mcmahon 0 singles  kate mannelly nc def gillian minnerly 60 60 courtney gallagher nc def hannah skipper 60 60 caitlin gallagher nc def winchelle jeanpierre  60 60 jensen lee nc def haley tomscheck 61 61 doubles kimmy glerumsara greene nc def whitney packersydney goldman 60 60 amanda merjiankristin laub nc def ariana baileymarissa marotta 60 60 emily greeneemily brand nc def jordana jarrettlindsay chironna 60 60 records new canaan 60 60 fciac greenwich 7 norwalk 0 singles jenn deluca g def sophie larevoy 60 60 sam stone g def ellie ohara 60 61 audrey villemure g def meredith pramer 61 60 hannah kratky g def jacqui ohara 61 60 doubles anna sweeneymichelle vogt g def victoria tirpackdarielle cooper 60 61 katey hopperlauren daccache g def chayna markoalexis noonan 60 60 julia hylandmary cecio g def jen ramirezjessica castillo 61 62 records greenwich 70 wilton 6 ridgefield 1 singles brooke connolly w def shannon stainken 60 76 kelly janasek r def meg crampton 62 75 maya srivastava w def gemma howard 06 61 60 allie schaeffer w def alyssa morrison 62 51 retired doubles amanda sakamoto amanda ricca w def sophie nicolellamaxine gorelick 63 63 sabrina bell elisa amendola w def leah petrucelli olivia beatty 75 64 maddy murphy  haley marten w def christy marchand becca brand 62 61 stamford 7 bridgeport central 0 singles anna lipkin s def yareni gomez 60 61 nikita roach s def kissy keophannga 61 60 jessica shtramel s def julie pham c 60 60 antonella fusco s def wendy moreno 60 60 doubles sasha hoherchakallie robles s def carey vonovy thaib 62 63 stamford won no 2 no 3 double by forfeit fairfield warde 4 fairfield ludlowe 3 at fairfield warde singles christie schneider fw def alyssa mcandrews 64 36 76 74 hayley wolf fw def daria efimov 62 63 marissa walsh fw def morgan hilliker 61 60 kendall quinn fl def caroline gallucci 46 62 62 doubles erin hinesmegan hines fw def brooke macknolayne rissolo 63 63 dillon caseypaige mccormack fl def abbie oharaelise finzi 61 62 liz searighttaylor bond fl def carin gannonmckenzie hill 36 62 64 records fairfield warde 43 fairfield ludlowe 42 staples 7 st joseph 0 at st joseph singles katie reiner def nicole keklik 60 61 melissa beretta def michelle keklik 60 60 molly rudinger def cassandra schellhas 61 61 leigh rubin def julie fracker 60 60 doubles hannah biornsonalex walsh def ania poterajjen novack 62 60 nicole marcantekate collins def amanda capelaamanda quiles 62 60 margany stammfarrel levenson def kylie lauterbachcourtney iassagna 62 62 gfa 7 king 0 singles frankie garofalo gfa def sam karp 63 63  kyja kutnick gfa def amanda meyer 63 63 caitlin rummelsburg gfa def lindsay jennings 60 60 maggie harwood gfa def emily green 63 61 doubles  hayley sanzone olivia kjorlein gfa def amelia arnold maisie heine 62 61 regi monroe taylor schendel def kristen santer jessica schoenfeld 62 61 isabelle canaan jessica liu def jordan farber olivia reyes 62 60 boys golf new canaan 157 trinity catholic 171 cc of new canaan par 35 nc  brian tohir 38 patrick hagerty 39 ben katz 40 alex geanakos 40 jack piontkowski 45 tc  faith garcia 41 tim keane 41 ryan wells 44 alex ahumada 45 brian romano 49 records new canaan 10 trinity catholic 12 greenwich 154 danbury 186 at griffith e harris golf course par 36 g steven pastore 39 danny guise 39 jason morilla 39 paul pastore 37 noah henderson 39 d avery lord 47 john pinto 42 matt hanrahan 48 ethan morrell 56 luke chavez 49 records greenwich 70 danbury 34 ridgefield 152 stamford 193 at ridgefield gc par 36 r  dan meyers 39 rory mazor 40 corey birch 38 brady garrett 36 mike tessler 39 s  chad weissman 41 jeff moreno 49 mike singer 56 nick hollendonner 54 mitch berkoff 49 records ridgefield 40 stamford 34 ridgefield 152 westhill 180 at ridgfield public gc par 35 r  brady garrett 36 corey birch 38 mike tessler 39 dan myers 39 roy mazur 40 w  alex rossetti 37 daniel molin 45 josie spelling 47 tim gerson 51 records ridgefield 40 westhill 30 brien mcmahon 160 over harding bassick central at fairchild wheeler par 36 m  john sabia 38 miles nollman 39 chris falcone 40 rick buellesbach 43 records mcmahon 34 girls golf trumbull 198 darien 213 at tashua knolls par 36 tlauren gregory 46 morgan pekera 47 sarah longwell 49 caitlyn longwell 56 dizzy lee 47 kendall kyrzik 48 nicole granath 59 korinne theschner 59 records trumbull 23 darien 42 girls track mcmahon 82 st joseph 57 fairfield ludlowe 73 mcmahon 68 fairfield ludlowe 82 st joseph 54 at fairfield ludlowe 4x100 rely st joseph 557 100 hurdles linda m 160 100 meters linda m 125 1600 meters heather moriarity fl 538 400 meters sam green fl 657 300 hurdles alex wykoff fl 539 800 meters sydney folk fl 241 200 meters linda m 277 3200 meters moriarity fl 1231 4x400 fl 445 long jump brim m 156 triple jump brim m 310 high jump sarah leclerc fl 44 pole vault medina m 5 feet javelin sarah leclerc fl 70 feet discus mcelveen m 847 shot put yarborough m 28 feet 55 inches records fairfield ludlowe 42 boys volleyball staples 3 bassick 0 bassick 17 10 160 staples 25 25 253 records staples 61 50 fciac bassick 07 06 highlights sdanny fishman had 18 assists six aces jonah aelyon had five kills aj green had 30 kills one block bgideon masala had seven kills six assists anthony allen had eight kills casey fulgence had six digs darien 3 central 0 darien25 25 253 harding23 14 110 records darien 51 fciac harding 24 highlights daustin cockerill had nine service points 16 kills and four digs calder delhart had 10 service points 15 kills and five digs sam bryant had eight service points and five digs heliud mateo had four service points
                          Sign Language: Doa Mara and its love of the East End         	2014-12-23	HOUSTON CHRONICLE	http://www.houstonchronicle.com/local/gray-matters/article/Sign-Language-Icons-in-the-East-End-5963512.php	en	by leah binkovitz the sign juan and ana hernandez grew up in the second ward area so in 2005 when the couple  a retired firefighter and retired schoolteacher  bought doa mara a neighborhood restaurant on a corner of navigation boulevard they wanted it to reflect the community to continue reading this story you will need to be a digital subscriber to houstonchroniclecom by logging in you agree to the terms and conditions and privacy policy reporter
                          House supports helicopter hunting of feral hogs, coyotes         	2011-04-05	HOUSTON CHRONICLE	http://www.chron.com//news/local/article/House-supports-helicopter-hunting-of-feral-hogs-1322273.php	en	austin  taking aim at a rapidly growing feral hog population and its reported encroachment into urban areas state lawmakers overwhelmingly passed legislation monday allowing the animals to be hunted from helicopters in a 1379 vote the state house signaled wide support for the aerial  shooting of feral hogs which cause 400 million a year in damages said the bills author representative sid miller rstephenville the hogs are expanding in prolific numbers across texas he said and also are becoming a nuisance in urban areas destroying golf courses and cemeteries coyotes also are on the hit list its a serious problem miller said after the house tentatively approved hb 716  after a final vote today the bill heads to the senate which did not act on similar legislation two years ago miller said he expects a friendlier reception this year because more legislators are aware of the feral hog problem he added coyote hunting from helicopters to his bill this year people are losing their pets because coyotes are coming up into the yards miller said current law allows a landowner to hire an aerial hunting company to manage nuisance animals such as feral hogs and coyotes so long as it is not for sport his bill would allow a landowner to sell a seat on the helicopter to defray expenses miller said the states feral hog population is growing 20 percent per year as feral hogs mature within 12 months and annually produce two litters he said the city of irving recently trapped 250 feral hogs within the city limits its a real problem hunting by helicopter is the most effective way that we have at our disposal right now he said adding texas am university is working on a sterilization project the legislation would not allow helicopter hunting for feral hogs and coyotes in urban areas limited opposition to the bill came from several urban legislators the bill didnt contain any provision for cleanup of the carcasses representative joaquin castro dsan antonio said the amount of hogs that may be killed in one outing could be dangerous to water supplies and to kids  too aerial hunting isnt the best way to approach the burgeoning feral population one houston lawmaker said im concerned whenever were allowing people to hunt from helicopters said representative ana hernandez luna a democrat i dont think in terms of public safety we should open up that door to allow hunting from helicopters because of liability issues and the risk involved 
                          Urban Texas lawmakers oppose hog hunts from copters         	2011-04-04	HOUSTON CHRONICLE	http://www.chron.com//news/houston-texas/article/Urban-Texas-lawmakers-oppose-hog-hunts-from-1684984.php	en	austin  the state house voted overwhelmingly monday for a bill to allow hunting of feral hogs and coyotes from helicopters wild hogs cause 400 million a year in damages and are expanding in prolific numbers across every county in texas said bill author representative sid miller rstephenville they also are becoming a nuisance in urban areas destroying golf courses and cemeteries he said its a serious problem miller said after the house tentatively approved hb 716 1379 the bill would bar the texas parks and wildlife commission from prohibiting a landowner using a helicopter to hunt feral hogs or coyotes the limited opposition came from several urban legislators the bill didnt contain any provision for cleanup of the carcasses representative joaquin castro dsan antonio said the amount of hogs that may be killed in one outing could be dangerous to water supplies and to kids  im concerned whenever were allowing people to hunt from helicopters representative ana hernandez luna dhouston said i dont think in terms of public safety we should open up that door to allow hunting from helicopters because of liability issues and the risk involved  she acknowledged that the expanding presence of ravaging feral hogs has become a destructive problem but i dont think that shooting from helicopters is the best way to approach that problem hernandez luna said after a final vote tuesday the legislation heads to the senate which did not act on similar legislation two years ago miller said he expects a friendlier reception this year because more legislators are aware of the feral hog problem he added coyotehunting from helicopters to his bill this year people are losing their pets because coyotes are coming up into the yards miller said current law allows a landowner to hire an aerial hunting company to manage nuisance animals such as feral hogs and coyotes so long as it is not for sport his bill would allow a landowner to sell a seat on the helicopter to defray expenses feral hogs mature within 12 months and produce two litters a year the states feral hog population is growing 20 percent a year miller said its a real problem hunting by helicopter is the most effective way that we have at our disposal right now he said adding texas am university is working on a sterilization project the legislation would not allow helicopter hunting for feral hogs and coyotes in urban areas gscharrerexpressnewsnet
                          Houston to challenge Census Bureau's count of 2.099 million         	2011-02-23	HOUSTON CHRONICLE	http://www.chron.com//news/houston-texas/article/Houston-to-challenge-Census-Bureau-s-count-of-1691249.php	en	the city of houston will ask the us census bureau to change its official count raising questions about whether some apartment complexes or neighborhoods were missed houstons population is 2099451 according to census data released last week thats more than 100000 fewer people than earlier estimates and slightly below the 21 million that triggers an expansion of the city council to 16 members we thought we were well over 21 million said mayor annise parker noting errors in how the census defined some city boundaries the council expansion is still on as city planners and independent researchers try to determine what went wrong i think were all very disappointed in the census bureaus ability to actually count the immigrant populations and other hardtocount populations said jerry wood a consultant hired to review the results the bureau had a great story about how they were going to do a better job this time but i think the evidence is pretty clear that it didnt work  census maps show that much of east houston  most of the area inside loop 610 east of interstate 45  lost population as did sections of southwest and northeast houston those areas are predominantly latino and africanamerican populations that historically are most likely to be missed by the census its troubling said james rodriguez who represents east houston on city council youre always concerned about an undercount  but many of the affected areas are filled with small aging houses and apartment complexes and the lack of new subdivisions may explain some of the decline older folks die younger folks move if they can said michael emerson codirector of the kinder institute for urban research at rice university state representative ana hernandez luna whose district stretches from just inside the east loop to beyond the beltway noted that no census tract in her district recorded more than 81 percent of people mailing in their forms that fell to 63 percent in some tracts census workers were dispatched to housing units that did not return the forms by mail but hernandez luna said some people especially immigrants here illegally may have been reluctant to participate despite assurances the information would not be shared with immigration and customs enforcement were all a bit skeptical when were giving so much detailed information about our household she said for those that are undocumented they want the least amount of contact they can have with the government  other people say they were never contacted robert presbruhi who lives in denver harbor said he did not receive a form by mail nor was he contacted by a census worker it aint no big deal but i havent ever heard from anyone he said nobody took the census over here  census workers are supposed to track down people who dont return the forms but emerson said human error is unavoidable you hire census workers and they are just people he said they sometimes look at a neighborhood and  just make up something rather than go somewhere they dont feel comfortable  wood said early blockbyblock comparisons already have turned up discrepancies including an apartment complex at beltway 8 and pearland park that appears to have been missed entirely census data showed no one living on the block although satellite photos from april 1  the day of the official count  reveal cars in the parking lot he said where are they  wood asked they may not have been counted  but he and others acknowledge no count is perfect state representative armando walle who represents northeast houston said the census bureau tried to encourage participation to their credit they reached out he said but the system is not perfect  challenges to the official count cant be filed until june 1 wood said the city will report apparent errors  apartment complexes located on blocks where no residents were reported for example  and possible mistakes in where boundaries are located the bureau probably wont object to correcting boundary errors he said chronicle reporter chris moran contributed to this report jeanniekeverchroncom
                          Lessons in learning: Warde students teach history at Jennings         	2013-01-06	HOUSTON CHRONICLE	http://www.chron.com//news/article/Lessons-in-learning-Warde-students-teach-history-4169859.php	en	jennings school students learned about the california gold rush oregon trail civil war and underground railroad last week but they didnt learn about those subjects from their teachers instead 17 students in fairfield warde high school teacher james dacostas us history class on friday made five to 10minute presentations on those topics to all three fourth and fifthgrade classes at the palm drive elementary school ryan mcneil an 11yearold fifthgrader said he most liked a board game made by warde juniors meghana damaraju 17 and morgan miller 16 in the game students moved pieces based on a roll of dice and whether they could correctly answer questions that damaraju asked about the california gold rush the game even included chocolate coins wrapped in goldcolored foil but students werent allowed to eat them i liked the game because you got to have some fun with it and she also taught us some interesting facts ryan said of damaraju rebecca weinstein a 10yearold fifthgrader said she also most liked the board game but also enjoyed the presentation by warde juniors justin gaudet and blaise kirby on what travelers on the oregon trail ate i liked the cooking one because i kind of like to cook too and im also reading a book on the oregon trail rebecca said it was cool to learn about what they ate and what they had to bring along with them  gaudet and kirby both 16 said they also learned a lot from researching the oregon trail for their presentation its pretty cool to learn how limited the stuff was but they could still live off it kirby said of the food that travelers on the oregon trail ate over their sixmonth journey the food included biscuits johnny cakes pancakes made with corn meal instead of flour corn meal mush and corn dodgers most of the stuff was really bland tasting kirby told students brendan miner a 16yearold warde junior told jennings students about his greatgreatgreat grandfather who fought for the north in the civil war at the battle of opequon and battle of cedar creek he said soldiers in the union army outnumbered soldiers in the confederate army in both battles and that the union armys goal in the battles was to secure washington dc in the battle of cedar creek the union army had 31000 soldiers vs 21000 for the confederate army miner said this was the final battle to secure washington dc and the union was able to keep it safe from the south he said miner said his greatgreatgreat grandfather thomas ryan survived both battles but died about five years later of illness before his presentation miner said he learned of his relatives service in the civil war from his great aunt and from wwwancestrycom a website that enables people to research their family trees it gave me all the information about who he was where he lived and the battles he partook in miner said adding that he was very impressed by his relatives service in the nations bloodiest war jennings students also learned about the underground railroad a series of safe houses that enabled slaves in the south to travel to freedom from ana hernandez a warde junior who built an elaborate model of a safe house and told students about its secret rooms doors and passages before her presentation hernandez said she likes arts and crafts and that dacosta suggested she build a model of a safe house for her project jennings students also learned about the california gold rush from warde junior dylan bender who wrote a childrens book about it rumors of gold in california had existed for years before the gold rush people came from all over america and even internationally for the gold from california bender told students gold initially could be picked up from the ground but miners later had to find gold from panning in streams and rivers the gold rush ended after gold became harder to find and silver was discovered in nevada bender said damaraju said goldseekers didnt have an easy life they stayed in tents on their trips to california and some caught typhoid fever from contaminated drinking water and scurvy from a lack of fruits and vegetables she said miller damarajus partner said she learned a lot about the gold rush and was glad students liked their board game i was glad they wanted to play and were excited about learning about it she said dacosta said students in his us history classes have made annual presentations in fairfield elementary schools for the past 16 years and that this years students could choose any topic as long as it had something to do with us history between 1840 and 1890 other topics covered friday included cowboys the hunt for president lincolns assassin and billy the kids boss dacosta said his students also make presentations to elementary school students in stratfield school and north stratfield school my students are always surprised by how intelligent the questions are and how probing the questions are from the elementary school students he said after the 45 minutes devoted to presentations ended they get challenged and get positive feedback for their academic work  mary ann rooney a fifthgrade teacher at jennings said her students get to see the level of detail that goes into a high school history class as opposed to what we cover on the surface in elementary school  she said elementary school students also can relate to high school students tony vuolo the jennings principal agreed saying fifthgraders by nature are interested in and motivated by older students a lot of the projects add value because theyre pertinent to things theyve studied or will be studying he said
                          2 top fundraisers in District 143 far outpace rivals         	2005-11-03	HOUSTON CHRONICLE	http://www.chron.com//news/politics/article/2-top-fundraisers-in-District-143-far-outpace-1941925.php	en	in the heated race to succeed the late state representative joe moreno two of the six candidates are running neckandneck in fundraising far outpacing their four other opponents as of monday attorney ana hernandez had raised about 154600 in political contributions since jan 1 according to campaign finance reports filed with the texas ethics commission leasing administrator laura salinas reported about 154100 including 98900 in contributions and 55200 in loans the nextclosest candidate was attorney al flores who is making his second bid for the district 143 seat and has raised about 41800 attorney rick molina is making a largely selffunded race and reported 1100 in contributions but nearly 14100 in expenditures construction firm owner dorothy olmos had raised 400 while texas department of corrections officer charles george reported no contributions district 143 sprawls along the houston ship channel amid the factories and refineries east of downtown as far as pasadena and galena park the district is predominantly hispanic and historically heavily democratic both leading fundraisers however have drawn large contributions from conservative republicanoriented sources salinas a single mother making her first bid for office reported 65000 in contributions from the houstonbased texans for lawsuit reform a businessoriented lobby that favors limiting personalinjury awards hernandez a former aide to moreno also running for the first time has received 10000 from houston home builder bob perry a top gop donor and also a major backer of tlr the tlrs rival group the texas trial lawyers association pac gave the hernandez campaign about 29300 worth of mailers as inkind contributions in the reporting period that ended monday local politicos meanwhile also are investing heavily in the wideopen race to complete the term of moreno who was killed in a car crash may 6 in the latest report salinas includes a 50000 loan from former state representative roman martinez who is married to her aunt former state representative diana davila but elected officials have mainly shared their campaign money with the hernandez bid among the contributing campaigns kicking in from 1000 to 5000 were those of state senator rodney ellis state representative garnet coleman and harris county commissioner sylvia garcia lorirodriguezchroncom
                          District 143: The Chronicle recommends Ana Hernandez  	2005-10-21	HOUSTON CHRONICLE	http://www.chron.com//opinion/recommendations/article/District-143-The-Chronicle-recommends-Ana-1917771.php	en	on the nov 8 election ballot six contenders are vying in a special election to fill the district 143 seat left open when wellliked state representative joe moreno died in a car accident last may the vacancy in this predominantly hispanic politically active district in east houston drew a number of good candidates all democrats the chronicle believes ana hernandez is the best among them a university of texas law school graduate and practicing attorney who is active both in politics and community affairs hernandez was born in mexico and grew up in pasadena she has worked for state representative jessica farrar including as her chief of staff and for moreno during legislative sessions from 1998 to 2004 the experience gave her insights into the workings of state government and will allow her to become an immediately effective legislator for her district hernandez cites three issues as the focus of her campaign access to affordable health care and health clinics especially for the elderly who suffer under the weight of unreimbursed prescription medicine costs increased funding for the childrens health insurance program and attention to policies that will ensure cleaner air and water for a district that abuts this areas huge petrochemical industry hernandez also says she opposes increases in the states sales taxes to fund public education advocating instead that lawmakers broaden the tax base so that all segments of society equitably share the tax burden residents of district 143 have gone without representation during the previous two special legislative sessions the chronicle believes they will be wellserved by hernandez if they elect her to take up their causes in austin
                          Mack: Moreno gone but not forgotten in heated race         	2005-08-19	HOUSTON CHRONICLE	http://www.chron.com//news/article/Mack-Moreno-gone-but-not-forgotten-in-heated-race-1913110.php	en	two candidates to succeed the late state representative joe moreno are battling for the use of his photo and philosophy in campaign literature moreno was popular in district 143 and candidates figure any association with him in the public mind will be beneficial in the nov 8 special election  even if his family already has expressed a preference ana hernandez features a picture of herself with moreno on her web site and lists his family as supporters she also quotes the moreno family as saying joe saw great potential in ana because she was so eager to help others  we are proud and honored to have such a strong young woman willing to carry on our sons work  moreno died in a singlevehicle crash may 6 as he drove from houston to austin near the end of the regular legislative session laura salinas another candidate is questioning hernandezs residency in the district salinas used morenos picture in a mailing july 27 to 10000 district residents and included a 2002 quote from moreno on the subject of residency the people of district 143 deserve a state representative that lives within the district that knows their issues and that is honest with the facts moreno is quoted as saying in challenging the residency of one of his opponents the voters dont deserve a legislator that is shopping for a district  i respectfully ask that you desist from using my sons image in the future i am asking you to do so as a courtesy to my family we do not feel it is appropriate for you to use our sons image solely for your political gain the letter reads i have done the best that i can to honor my son and carry forth his wishes i understand politics but i cannot understand disrespecting my family  besides understanding politics alice moreno participates she is hernandezs campaign treasurer salinas has not responded to alice moreno but her response in comments to the chronicle was essentially that hernandez did it first with all due respect to the moreno family the hernandez campaign brought joe into this campaign by using his image salinas said the difference is hernandez had the familys permission said her political consultant robert jara alice moreno also questions the validity of the quote salinas uses in her literature the chronicles story on the news conference did not include the quote salinas political consultant marc campos who was morenos consultant in 2002 said he had a copy of morenos talking points and pulled the quote from there i dont have a history of making fictitious press statements it was there i didnt have to dress it up campos said also in this years race are flores lawyer rick molina selfemployed teacher dorothy olmos and university of houston student terry andre hayes salinas has sent letters to hernandez and flores asking how long theyve lived in the district how long theyve been registered to vote there and whether they have ever voted in district 143 she refers to voting records showing that hernandez and flores changed their voterregistration addresses within days of morenos death neither has responded to her letter kristenmackchroncom
                          Special election is set to fill Moreno's seat         	2005-05-27	HOUSTON CHRONICLE	http://www.chron.com//news/houston-texas/article/Special-election-is-set-to-fill-Moreno-s-seat-1937450.php	en	austin  governor rick perry has set the special election to fill the unexpired term of the late representative joe moreno as general election day nov 8 moreno a houston democrat who died in a singlevehicle crash may 6 on his way from houston to austin represented district 143 in east houston and harris county those eligible to vote in the district are more than 70 percent hispanic and historically have favored democrats the governor set an oct 24 deadline for candidates to file their applications with the secretary of state the race likely will be crowded lawyer ana hernandez who worked for moreno and for representative jessica farrar dhouston and laura salinas the niece of former representatives diana davila martinez and roman martinez already have announced their candidacies roy zermeno an sbc lobbyist also is a potential candidate as are dorothy olmos al flores and reggie gonzales all of whom previously ran against moreno the nov 8 vote will include constitutional amendments approved by the current session of the legislature and a number of local elections kristenmackchroncom
